"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LGALS1",1.10795762439292e-10,-0.572135687298174,0.913,0.979,4.0551249052781e-06
"HNRNPH2",1.11553095715901e-10,-0.348059269475574,0.471,0.668,4.08284330320198e-06
"SERINC1",1.12226880505366e-10,-0.125172189454435,0.689,0.85,4.10750382649638e-06
"KCTD3",1.12403527524516e-10,-0.251284099392685,0.381,0.58,4.11396910739728e-06
"MRPL44",1.12442924783377e-10,-0.926282887264614,0.347,0.531,4.1154110470716e-06
"IFT20",1.12674501483489e-10,-0.34917749251594,0.3,0.49,4.12388675429571e-06
"UBR7",1.12904144293308e-10,-1.17346982393309,0.244,0.427,4.13229168113508e-06
"TMEM106A",1.13249001618593e-10,-0.382579721679936,0.468,0.679,4.14491345924052e-06
"ALDH1B1",1.1420985172859e-10,-1.96589261382945,0.059,0.207,4.18008057326638e-06
"PAFAH2",1.14252336952956e-10,-1.18210538963598,0.092,0.255,4.18163553247821e-06
"RABL2B",1.1468389389288e-10,-1.07148652138074,0.28,0.469,4.19743051647939e-06
"SMIM3",1.14756436467442e-10,-0.371921552994753,0.793,0.903,4.20008557470839e-06
"ELOVL1",1.15206958032776e-10,-0.698336046837145,0.204,0.401,4.21657466399959e-06
"BMP1",1.1563013407561e-10,-0.194976326810049,0.378,0.559,4.23206290716732e-06
"CLEC11A",1.16417017902196e-10,0.599128952958513,0.969,0.957,4.26086285522036e-06
"MSH3",1.16603877119072e-10,-0.336198184340338,0.588,0.78,4.26770190255805e-06
"UTP23",1.1816616582794e-10,-0.706247026813538,0.462,0.63,4.32488166930262e-06
"ITGAM",1.2016423979895e-10,-0.394895638551535,0.104,0.276,4.39801117664156e-06
"LYRM2",1.2017752514251e-10,-0.273429446524216,0.415,0.619,4.39849742021586e-06
"TACC1",1.20932639123389e-10,-0.106023414604903,0.79,0.936,4.42613459191603e-06
"ALMS1",1.21484706658198e-10,-0.132280223906316,0.571,0.797,4.44634026369006e-06
"NCAPD2",1.21675340817402e-10,-0.394422090438022,0.275,0.468,4.45331747391691e-06
"MEN1",1.22405074512741e-10,-0.215314945500706,0.196,0.389,4.48002572716633e-06
"PRPF18",1.2280580436361e-10,-0.330039695658445,0.375,0.572,4.49469243970812e-06
"PSTPIP1",1.25730542915487e-10,-0.991173047419921,0.176,0.359,4.60173787070681e-06
"ZNF850",1.28478159017028e-10,-0.5585738181715,0.221,0.407,4.70230062002323e-06
"SHMT1",1.29283205639017e-10,-1.53694636089211,0.151,0.324,4.73176532638802e-06
"RMI1",1.29379292174885e-10,-1.94237695533521,0.106,0.27,4.73528209360081e-06
"ZMYM3",1.2982476691644e-10,-0.370437006294088,0.356,0.551,4.75158646914169e-06
"ATP5F1E",1.29859067229844e-10,-0.315328479344509,0.95,0.984,4.75284186061231e-06
"MCM8",1.30393257965651e-10,-2.08795005754335,0.157,0.322,4.77239324154281e-06
"IQCB1",1.309388977775e-10,-0.304545196575313,0.711,0.905,4.7923636586565e-06
"ABHD14A",1.31150103459938e-10,-0.967282466627951,0.28,0.446,4.80009378663375e-06
"ORMDL3",1.33648902899175e-10,-0.573691702395652,0.221,0.397,4.89154984610981e-06
"SLC5A3",1.33777133676288e-10,-0.77893074614529,0.176,0.356,4.89624309255214e-06
"RCHY1",1.34167612331854e-10,-0.715174255610421,0.331,0.505,4.91053461134584e-06
"EXOSC8",1.35002354856984e-10,-0.38801460823059,0.465,0.642,4.94108618776561e-06
"PIK3CD-AS2",1.36189735987516e-10,-1.36387265333505,0.081,0.235,4.98454433714307e-06
"IPO11",1.36202093353189e-10,-0.165143484867251,0.532,0.757,4.98499661672671e-06
"TMED1",1.3621818882954e-10,-0.857693699463332,0.151,0.33,4.98558571116115e-06
"PKMYT1",1.37681243358946e-10,-0.786624431738597,0.118,0.281,5.03913350693744e-06
"CBWD6",1.37935675138732e-10,-0.333651221880444,0.272,0.491,5.04844571007759e-06
"JRKL",1.3822092038788e-10,-1.46883401008967,0.168,0.339,5.05888568619641e-06
"RP1-117O3.2",1.3935462348502e-10,-1.47764981874829,0.09,0.248,5.10037921955172e-06
"LRRC14",1.39412367786227e-10,-1.53451183416634,0.137,0.308,5.1024926609759e-06
"ERP29",1.39578147900312e-10,-0.341282539002007,0.706,0.859,5.10856021315143e-06
"SERPINB6",1.40706362818956e-10,0.245886159892418,0.728,0.864,5.14985287917378e-06
"CENPW",1.40743918932628e-10,-1.65234575265702,0.165,0.327,5.15122743293419e-06
"LIX1L",1.40987230804962e-10,-1.61910076303104,0.249,0.435,5.16013264746161e-06
"CCDC25",1.41252703211966e-10,-0.717364298888368,0.216,0.4,5.16984893755796e-06
"CLDND1",1.42103445627777e-10,-0.369305714400854,0.412,0.593,5.20098610997662e-06
"RBMX2",1.4325833418531e-10,-0.58675417677227,0.275,0.46,5.24325503118233e-06
"ATP8A1",1.43332733822147e-10,-0.224346732454554,0.515,0.724,5.24597805789057e-06
"HMBOX1",1.43538722624045e-10,-0.220882005121959,0.695,0.868,5.25351724804004e-06
"PLEKHM3",1.43696462375379e-10,-0.164213839424104,0.549,0.762,5.25929052293886e-06
"ATP6V1B2",1.44365017085541e-10,-0.191955400208627,0.451,0.634,5.28375962533079e-06
"AC004448.5",1.4581948021542e-10,-0.331248829569073,0.588,0.769,5.33699297588439e-06
"SGCZ",1.47472575853596e-10,-0.60290469957244,0.37,0.572,5.39749627624161e-06
"AC142293.3",1.48016736255395e-10,-0.310003586438753,0.05,0.192,5.41741254694747e-06
"RRAGB",1.48247577266249e-10,-0.662316724501401,0.317,0.508,5.4258613279447e-06
"MBLAC2",1.49181925937688e-10,-2.17610200877363,0.053,0.2,5.46005848931938e-06
"AASDH",1.50127612201088e-10,-0.870608102703776,0.244,0.425,5.49467060655981e-06
"NIFK-AS1",1.51520628002456e-10,-0.164011039188517,0.303,0.507,5.5456549848899e-06
"BTBD10",1.54417626721343e-10,0.245479466526126,0.387,0.589,5.65168513800116e-06
"GLRX5",1.54654580484547e-10,-0.226164902254202,0.471,0.663,5.66035764573443e-06
"HAAO",1.55034821748898e-10,0.408633565193527,0.104,0.279,5.67427447600968e-06
"UBQLN4",1.551114020374e-10,-0.740660367199176,0.325,0.526,5.67707731456885e-06
