,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
517,RP11-136B18.2,1.975520468,2.248488664,0.723184318,3.109150198,0.001876263,0.007974247
518,CHRM3,2.052069971,1.215127418,0.454163686,2.675527468,0.007461176,0.025152323
519,CHRM3-AS2,5.274189319,4.644070202,0.959413405,4.84053087,1.29493E-06,1.47474E-05
520,FH,40.56151611,1.472255751,0.369174219,3.987970108,6.66411E-05,0.000463593
521,CHML,30.03608276,1.472572527,0.369911573,3.980877144,6.86614E-05,0.000476685
522,EXO1,1.633839265,2.311971593,0.885199437,2.611808702,0.009006463,0.02931819
523,CEP170,541.5278807,-0.359539612,0.138943669,-2.587664584,0.009662902,0.030955562
524,AKT3,5.058173053,2.252873578,0.500509746,4.501158258,6.75842E-06,6.24169E-05
525,ZBTB18,8.857937295,-1.667803289,0.668573408,-2.494570181,0.012610979,0.038329091
526,HNRNPU,664.6086147,-0.808878152,0.130437537,-6.201268197,5.601E-10,1.45739E-08
527,KIF26B,22.66898869,1.769849501,0.468319378,3.779150695,0.000157364,0.000978973
528,RP11-83A16.1,4.915541933,4.538203997,0.964903654,4.703271645,2.56025E-06,2.69817E-05
529,SCCPDH,81.95934908,1.000201652,0.256655348,3.897061403,9.73669E-05,0.00064389
530,AHCTF1,202.9731754,-1.065584145,0.196301706,-5.428297931,5.6894E-08,9.07384E-07
531,ZNF124,127.2932508,0.630982418,0.259127953,2.435022586,0.01489086,0.043934401
532,GCSAML,37.70019444,1.696193531,0.372413777,4.554593935,5.24869E-06,4.98805E-05
533,RP11-634B7.4,2.183045892,2.200668598,0.631682022,3.483823384,0.000494306,0.002602896
534,OR2L5,3.139182032,3.575153608,0.976704501,3.660425035,0.000251797,0.00146112
535,OR2L2,2.91801814,3.132840717,0.913577416,3.429201142,0.000605361,0.003096486
536,OR2L3,2.67421151,3.098441525,1.156926142,2.678167096,0.007402628,0.024992919
