"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRAF1",4.78849136895118e-05,4.96657163698292,0.667,0.152,1
"RP11-160E2.6",5.29314283768311e-05,2.09041974513366,1,0.39,1
"ATP6V0B",5.70680822304422e-05,-1.74296927077441,0.889,1,1
"PCGF5",5.79704391422225e-05,3.41996076091095,0.889,0.648,1
"MAP2",6.48573708874819e-05,3.38443942584534,0.667,0.143,1
"RP11-427M20.1",6.49581546118651e-05,3.58155660583211,0.444,0.057,1
"SPIRE1",6.59556531992335e-05,-3.00905494470317,0.333,0.886,1
"PDE3B",6.66101611246627e-05,2.8608959201634,1,0.848,1
"RXFP1",6.85895818681249e-05,-2.64313184370318,0.222,0.857,1
"AZU1",6.96443085749816e-05,1.78636078327553,1,0.495,1
"LINC01429",7.10865011533102e-05,3.48602221653795,0.444,0.057,1
"SCAF11",7.44565709706309e-05,0.981678962574043,1,0.981,1
"HSPE1",7.7587460604939e-05,-2.45702533460687,0.556,0.962,1
"KCNN3",7.77590259481456e-05,3.89664533898984,0.444,0.057,1
"RSU1",8.03144162679215e-05,-2.65646890929112,0.444,0.924,1
"RP11-738E22.3",8.23113693441828e-05,3.59392852068702,0.333,0.029,1
"H2BC5",8.70246229158496e-05,2.43989099069607,1,0.314,1
"CASC15",8.77802688827329e-05,4.06339463867507,0.889,0.505,1
"LINC02488",8.94944383721935e-05,3.45925145831404,0.556,0.095,1
"EIF5A",9.2607662689764e-05,-1.62050811710125,0.889,0.962,1
"EIF4E3",9.2919979714434e-05,4.23913779048181,0.444,0.057,1
"SP110",9.42341032263745e-05,-2.64463824284283,0.444,0.886,1
"LINC02762",0.000101508845005672,4.86842488893391,0.444,0.057,1
"ZFHX2",0.000101508845005672,4.16202254701171,0.444,0.057,1
"NCF4",0.00010232651857765,-1.99440158053582,0.444,0.933,1
"FHL2",0.000103066356234999,3.52701362704438,0.333,0.029,1
"DOCK4",0.000109534675728868,3.17754493102262,0.889,0.381,1
"SORT1",0.000110002196605416,-2.01998139246057,0.111,0.8,1
"RP11-779O18.3",0.000110453812477075,3.17541528624558,0.778,0.219,1
"C6",0.000110843235685503,3.46978566313554,0.444,0.057,1
"BLNK",0.000120983212962816,3.52348577995632,0.444,0.057,1
"SRSF8",0.000127022863373564,4.63682810747408,0.778,0.181,1
"RP5-837I24.4",0.000128693176759308,3.34573180694933,0.333,0.029,1
"CTD-2280E9.1",0.000128693176759308,3.17108030490037,0.333,0.029,1
"RP11-139D23.8",0.000129490243402502,5.67463128221168,0.222,0.01,1
