,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1083,FOXN3,161.2678168,1.199430598,0.299281061,4.007706311,6.13113E-05,0.001548704
1003,COX6A1,28.36572465,1.1989978,0.34111993,3.514886396,0.000439942,0.006851852
1097,GOLGA8N,31.33362275,1.195858523,0.423586314,2.823175545,0.004755053,0.037628294
1498,SF3A1,17.4667785,1.181759562,0.397836987,2.970461773,0.002973524,0.02692511
453,PPIP5K2,89.63254479,1.163484156,0.296930707,3.91836926,8.91501E-05,0.002029949
1006,ANAPC5,98.46309318,1.163156437,0.282992702,4.110199406,3.95318E-05,0.001078018
374,AFF1,233.0984866,1.161527241,0.249095651,4.662976796,3.11668E-06,0.000160004
410,HMGB2,19.73974166,1.16130972,0.358530432,3.239082704,0.001199148,0.013967807
1114,DUT,42.13237914,1.160957474,0.358148412,3.241554161,0.001188798,0.013905681
179,HK2,27.34510193,1.159711762,0.376367465,3.08132841,0.002060792,0.020606063
1064,RAD51B,156.1878051,1.156671701,0.388049591,2.980731663,0.002875606,0.026223355
380,DNAJB14,46.05755143,1.155399209,0.348103663,3.31912396,0.000903003,0.01144389
1232,KIAA0100,35.04334327,1.154630552,0.409864051,2.81710618,0.00484585,0.038083369
825,POLR2L,16.05540102,1.151965015,0.342663408,3.361797572,0.000774369,0.010246986
479,RNF145,49.36625677,1.147902209,0.419832932,2.734188105,0.006253431,0.045621246
850,NDUFS3,16.41617901,1.145025149,0.411117508,2.785152971,0.005350248,0.041029665
1460,NORAD,31.84897033,1.144183126,0.337588227,3.38928622,0.000700748,0.009531142
775,DDX50,44.44793308,1.140841476,0.364173121,3.132689953,0.001732123,0.018421423
292,CGGBP1,25.60869326,1.140571531,0.352186277,3.238546209,0.001201406,0.013979419
106,NDUFS2,23.28447869,1.139491364,0.383332145,2.972595381,0.002952934,0.026835879
361,REST,76.57099335,1.139175318,0.356149579,3.198586736,0.00138103,0.015547452
155,HADHA,48.11306138,1.134332969,0.362836196,3.126294956,0.001770239,0.018624453
993,VPS29,36.19404354,1.13291626,0.37590406,3.013844171,0.002579603,0.024310475
769,WDFY4,32.52923052,1.131432638,0.384573067,2.942048561,0.003260488,0.028718748
311,MRPL3,20.81721834,1.119146404,0.385862289,2.900377768,0.003727132,0.031670623
351,FBXL5,59.96583467,1.116596973,0.335116103,3.331970509,0.000862334,0.011119094
821,IFITM2,42.19284964,1.112934713,0.350236003,3.177670783,0.001484632,0.01644664
1574,IRAK1,20.78315185,1.110701268,0.40989231,2.70973922,0.006733613,0.04808051
920,TPI1,55.02917295,1.10895254,0.304479313,3.642127697,0.000270394,0.004774519
1185,FTO,97.34425192,1.106841185,0.347651649,3.183765092,0.001453729,0.016167098
1380,SUGP2,80.37335379,1.106458289,0.297154301,3.723514296,0.000196469,0.003692613
1202,TERF2IP,41.86370069,1.103733821,0.396496596,2.783715753,0.005374011,0.041181045
1319,ATP5F1A,50.20601446,1.10112775,0.299646237,3.674759151,0.000238074,0.004334978
899,ZBTB16,244.122112,1.095788827,0.29741495,3.684377088,0.000229263,0.004202138
472,NDUFA2,21.06222097,1.095153073,0.402935006,2.71793976,0.00656898,0.047208954
329,RPL22L1,21.12321976,1.093230739,0.276029788,3.960553487,7.47762E-05,0.00179637
1582,MT-CO2,1450.021139,1.087557881,0.278197822,3.909296889,9.25651E-05,0.002096245
1257,NMT1,51.17389998,1.085628726,0.40055461,2.710313894,0.006721956,0.048028202
1245,SMARCE1,32.85402409,1.082875521,0.370317019,2.924185132,0.003453593,0.030013237
49,PRDX1,20.02173166,1.082739658,0.325883529,3.322474328,0.000892229,0.011361725
231,PNKD,18.91339112,1.082695431,0.38740524,2.794736154,0.005194209,0.04008252
381,H2AZ1,27.86289317,1.076780797,0.399924314,2.692461449,0.007092673,0.049590578
1010,TMED2,16.52303036,1.076054152,0.392488955,2.741616391,0.00611377,0.04516695
241,CAB39,206.6851194,1.074090313,0.305581866,3.514902,0.000439916,0.006851852
612,GRB10,90.46577328,1.073217401,0.367466279,2.920587444,0.003493721,0.03020532
1399,ECH1,16.9837817,1.062631236,0.377142102,2.817588468,0.004838578,0.038053188
686,AK3,31.91759977,1.048630352,0.365247452,2.871013465,0.004091581,0.033909971
1353,ZNF121,31.317021,1.048575839,0.384321955,2.728378706,0.006364649,0.046219774
185,COX5B,39.97293133,1.047868266,0.31662868,3.309454683,0.000934779,0.011723817
525,HLA-DRA,58.02280004,1.047604239,0.352344342,2.97323985,0.002946741,0.026805914
1018,POMP,27.20080176,1.044337736,0.364575416,2.864531422,0.004176267,0.034355064
834,IPO7,88.42048946,1.042259402,0.363007094,2.871181914,0.004089401,0.033909971
359,TEC,184.7868443,1.039397388,0.27646459,3.759604029,0.000170183,0.00330842
1354,UBL5,25.73921547,1.038137638,0.32609871,3.183507347,0.001455024,0.016167098
732,USP20,65.62383565,1.036934855,0.349861389,2.963844785,0.003038215,0.027413153
841,LDHA,58.4139831,1.034262311,0.312639959,3.308157772,0.000939119,0.011727353
783,PTEN,267.963105,1.033689762,0.24167064,4.277266614,1.89202E-05,0.000633856
1515,SNU13,62.59478813,1.030795475,0.282947803,3.643058771,0.000269417,0.004764862
1438,NOP56,43.98672671,1.030281781,0.380112662,2.71046425,0.006718909,0.048028202
705,SYK,101.9230115,1.022141142,0.292041533,3.499985542,0.000465283,0.007111195
313,ARMC8,86.48955051,1.020496296,0.304670815,3.349504601,0.000809562,0.010623946
680,SNTB1,64.90888478,1.013323901,0.363359699,2.788762495,0.005290985,0.040687749
560,ASCC3,94.80379097,1.01123784,0.321650313,3.143904422,0.001667099,0.017948018
150,NOL10,89.30454296,1.002644029,0.365869972,2.740438149,0.006135733,0.045178713
761,ZEB1,186.4212002,1.000533909,0.33815556,2.958797744,0.003088417,0.02764121
97,ILF2,47.82692612,0.997383975,0.350571632,2.84502191,0.004440837,0.035843097
1556,JPX,95.06368704,0.995882098,0.264902077,3.759434846,0.000170298,0.00330842
643,UBE3C,66.44409301,0.994247357,0.352624538,2.819563725,0.004808898,0.037927362
629,POLR2J,10.74126492,0.993375583,0.366219998,2.712510479,0.006677567,0.047772607
875,NDUFV1,48.63543258,0.993371232,0.36746449,2.703312184,0.006865223,0.04870663
132,RAB3GAP2,67.62990491,0.987490525,0.363216445,2.718738483,0.00655314,0.047125659
1017,POLR1D,39.46316421,0.977211113,0.318107508,3.071952372,0.002126637,0.021169006
1585,MT-ND5,756.5566585,0.96526493,0.277129296,3.483085126,0.000495671,0.007478221
561,GRIK2,10.86484154,0.961579201,0.31609617,3.042046356,0.002349757,0.022816511
626,LAMTOR4,27.99975073,0.955196817,0.317112511,3.012170081,0.002593872,0.024376375
181,CHMP3,49.28204058,0.9524142,0.344365065,2.765710862,0.005679887,0.042730168
852,SELENOH,39.3811077,0.949536801,0.295624788,3.211966114,0.001318299,0.014993457
118,RHEX,151.1937613,0.947982368,0.279858978,3.387357361,0.000705694,0.009566554
1550,GNL3L,56.66373943,0.935963924,0.317031348,2.952275635,0.003154412,0.028021663
763,KIF5B,97.81154989,0.934569793,0.329707437,2.834542654,0.004589133,0.036716376
444,IQGAP2,156.5372684,0.922233161,0.30469232,3.026768645,0.002471831,0.023655993
