Subset,Detail
LMPP_Progenitors,POLR2H
LMPP_Progenitors,IL1RAP
LMPP_Progenitors,NCBP2AS2
LMPP_Progenitors,BDH1
LMPP_Progenitors,PDE6B
LMPP_Progenitors,NSD2
LMPP_Progenitors,C4orf48
LMPP_Progenitors,QDPR
LMPP_Progenitors,RBPJ
LMPP_Progenitors,TBC1D19
LMPP_Progenitors,RELL1
LMPP_Progenitors,RP11-121C2.3
LMPP_Progenitors,FIP1L1
LMPP_Progenitors,SRD5A3
LMPP_Progenitors,TMEM165
LMPP_Progenitors,JCHAIN
LMPP_Progenitors,SEC31A
LMPP_Progenitors,HELQ
LMPP_Progenitors,MRPS18C
LMPP_Progenitors,HERC5
LMPP_Progenitors,ADH5
LMPP_Progenitors,CISD2
LMPP_Progenitors,C4orf3
LMPP_Progenitors,MAML3
LMPP_Progenitors,RP11-223C24.1
LMPP_Progenitors,OTUD4
LMPP_Progenitors,PPID
LMPP_Progenitors,ING2
LMPP_Progenitors,SLC12A7
LMPP_Progenitors,MARCHF6
LMPP_Progenitors,TRIO
LMPP_Progenitors,LINC02100
LMPP_Progenitors,ZFR
LMPP_Progenitors,FYB1
LMPP_Progenitors,NDUFAF2
LMPP_Progenitors,ZSWIM6
LMPP_Progenitors,KIF2A
LMPP_Progenitors,MCCC2
LMPP_Progenitors,S100Z
LMPP_Progenitors,COX7C
LMPP_Progenitors,FAM81B
LMPP_Progenitors,ARSK
LMPP_Progenitors,LMNB1
LMPP_Progenitors,FNIP1
LMPP_Progenitors,VDAC1
LMPP_Progenitors,ETF1
LMPP_Progenitors,UBE2D2
LMPP_Progenitors,CYSTM1
LMPP_Progenitors,HARS2
LMPP_Progenitors,ARHGAP26
LMPP_Progenitors,TCERG1
LMPP_Progenitors,ATOX1
LMPP_Progenitors,MFAP3
LMPP_Progenitors,THOC3
LMPP_Progenitors,NOP16
LMPP_Progenitors,RGS14
LMPP_Progenitors,HNRNPH1
LMPP_Progenitors,CTC-338M12.4
LMPP_Progenitors,RPP40
LMPP_Progenitors,NUP153
LMPP_Progenitors,ABCF1
LMPP_Progenitors,TNF
LMPP_Progenitors,LTB
LMPP_Progenitors,AIF1
LMPP_Progenitors,ABHD16A
LMPP_Progenitors,GPSM3
LMPP_Progenitors,BRD2
LMPP_Progenitors,LHFPL5
LMPP_Progenitors,MTCH1
LMPP_Progenitors,RPL7L1
LMPP_Progenitors,DNPH1
LMPP_Progenitors,YIPF3
LMPP_Progenitors,GCLC
LMPP_Progenitors,COX7A2
LMPP_Progenitors,PHIP
LMPP_Progenitors,NDUFAF4
LMPP_Progenitors,COQ3
LMPP_Progenitors,RTN4IP1
LMPP_Progenitors,SMPD2
LMPP_Progenitors,ZBTB24
LMPP_Progenitors,CALHM6
LMPP_Progenitors,CEP85L
LMPP_Progenitors,ZC3H12D
LMPP_Progenitors,PCMT1
LMPP_Progenitors,SNX9
LMPP_Progenitors,GTF2H5
LMPP_Progenitors,EZR
LMPP_Progenitors,QKI
LMPP_Progenitors,RP1-167A14.2
LMPP_Progenitors,TBP
LMPP_Progenitors,PSMG3
LMPP_Progenitors,GNA12
LMPP_Progenitors,TNRC18
LMPP_Progenitors,AC073343.13
LMPP_Progenitors,CHN2
LMPP_Progenitors,GGCT
LMPP_Progenitors,UPP1
LMPP_Progenitors,FIGNL1
LMPP_Progenitors,NIPSNAP2
LMPP_Progenitors,PHKG1
LMPP_Progenitors,AUTS2
LMPP_Progenitors,NSUN5
LMPP_Progenitors,EIF4H
LMPP_Progenitors,LAT2
LMPP_Progenitors,POMZP3
LMPP_Progenitors,GNAI1
LMPP_Progenitors,CDK14
LMPP_Progenitors,FAM133B
LMPP_Progenitors,SEM1
LMPP_Progenitors,TECPR1
LMPP_Progenitors,ARPC1B
LMPP_Progenitors,PDAP1
LMPP_Progenitors,CPSF4
LMPP_Progenitors,ZNF394
LMPP_Progenitors,SAP25
LMPP_Progenitors,CLDN15
LMPP_Progenitors,CUX1
LMPP_Progenitors,SPDYE2
LMPP_Progenitors,AC002463.3
LMPP_Progenitors,SMIM30
LMPP_Progenitors,TFEC
LMPP_Progenitors,CCDC136
LMPP_Progenitors,COPG2
LMPP_Progenitors,LRGUK
LMPP_Progenitors,AKR1B1
LMPP_Progenitors,BRAF
LMPP_Progenitors,EZH2
LMPP_Progenitors,ZNF398
LMPP_Progenitors,LRRC61
LMPP_Progenitors,LMBR1
LMPP_Progenitors,PRAG1
LMPP_Progenitors,PDLIM2
LMPP_Progenitors,ADAM28
LMPP_Progenitors,TM2D2
LMPP_Progenitors,RRS1
LMPP_Progenitors,CPA6
LMPP_Progenitors,ZNF704
LMPP_Progenitors,CPNE3
LMPP_Progenitors,DPY19L4
LMPP_Progenitors,YWHAZ
LMPP_Progenitors,CHRAC1
LMPP_Progenitors,PTP4A3
LMPP_Progenitors,RHPN1
LMPP_Progenitors,GSDMD
LMPP_Progenitors,GRINA
LMPP_Progenitors,BOP1
LMPP_Progenitors,ADCK5
LMPP_Progenitors,GLIS3
LMPP_Progenitors,KDM4C
LMPP_Progenitors,DMAC1
LMPP_Progenitors,B4GALT1
LMPP_Progenitors,RPP25L
LMPP_Progenitors,DCTN3
LMPP_Progenitors,RP11-386J22.3
LMPP_Progenitors,SPIN1
LMPP_Progenitors,GALNT12
LMPP_Progenitors,LINC01505
LMPP_Progenitors,GNG10
LMPP_Progenitors,HSDL2
LMPP_Progenitors,CDC26
LMPP_Progenitors,TTLL11
LMPP_Progenitors,PTGS1
LMPP_Progenitors,RP11-542K23.7
LMPP_Progenitors,NEK6
LMPP_Progenitors,SET
LMPP_Progenitors,ENDOG
LMPP_Progenitors,POMT1
LMPP_Progenitors,GBGT1
LMPP_Progenitors,SEC16A
LMPP_Progenitors,FBXW5
LMPP_Progenitors,ARRDC1
LMPP_Progenitors,GTPBP4
LMPP_Progenitors,IL2RA
LMPP_Progenitors,SUV39H2
LMPP_Progenitors,RAB18
LMPP_Progenitors,WAC
LMPP_Progenitors,SVIL
LMPP_Progenitors,CDK1
LMPP_Progenitors,JMJD1C
LMPP_Progenitors,PBLD
LMPP_Progenitors,PCBD1
LMPP_Progenitors,DNAJB12
LMPP_Progenitors,COMTD1
LMPP_Progenitors,LRMDA
LMPP_Progenitors,NUTM2B-AS1
LMPP_Progenitors,WAPL
LMPP_Progenitors,IFIT3
LMPP_Progenitors,EXOC6
LMPP_Progenitors,PDLIM1
LMPP_Progenitors,ZDHHC16
LMPP_Progenitors,CNNM1
LMPP_Progenitors,SEC31B
LMPP_Progenitors,NDUFB8
LMPP_Progenitors,DPCD
LMPP_Progenitors,ACADSB
LMPP_Progenitors,STK32C
LMPP_Progenitors,ECHS1
LMPP_Progenitors,CHID1
LMPP_Progenitors,CDKN1C
LMPP_Progenitors,RPL27A
LMPP_Progenitors,SWAP70
LMPP_Progenitors,EIF3M
LMPP_Progenitors,QSER1
LMPP_Progenitors,UBE2L6
LMPP_Progenitors,TMEM109
LMPP_Progenitors,TKFC
LMPP_Progenitors,TMEM138
LMPP_Progenitors,ASRGL1
LMPP_Progenitors,UBXN1
LMPP_Progenitors,PPP1R14B
LMPP_Progenitors,FAU
LMPP_Progenitors,CTSW
LMPP_Progenitors,YIF1A
LMPP_Progenitors,ZDHHC24
LMPP_Progenitors,TMEM134
LMPP_Progenitors,AIP
LMPP_Progenitors,KMT5B
LMPP_Progenitors,UVRAG
LMPP_Progenitors,INTS4
LMPP_Progenitors,TMEM126A
LMPP_Progenitors,TAF1D
LMPP_Progenitors,ZW10
LMPP_Progenitors,SIK3
LMPP_Progenitors,MPZL3
LMPP_Progenitors,CD3D
LMPP_Progenitors,HMBS
LMPP_Progenitors,APLP2
LMPP_Progenitors,ACAD8
LMPP_Progenitors,ERC1
LMPP_Progenitors,FOXM1
LMPP_Progenitors,C12orf4
LMPP_Progenitors,RIMKLB
LMPP_Progenitors,CLEC2B
LMPP_Progenitors,LINC02470
LMPP_Progenitors,MGST1
LMPP_Progenitors,KLHL42
LMPP_Progenitors,RP11-996F15.2
LMPP_Progenitors,SCAF11
LMPP_Progenitors,KANSL2
LMPP_Progenitors,RHEBL1
LMPP_Progenitors,LMBR1L
LMPP_Progenitors,RP11-793H13.14
LMPP_Progenitors,ITGA5
LMPP_Progenitors,BLOC1S1
LMPP_Progenitors,CCT2
LMPP_Progenitors,CAPS2
LMPP_Progenitors,APAF1
LMPP_Progenitors,C12orf73
LMPP_Progenitors,CHST11
LMPP_Progenitors,HVCN1
LMPP_Progenitors,OAS2
LMPP_Progenitors,RITA1
LMPP_Progenitors,SPRING1
LMPP_Progenitors,POP5
LMPP_Progenitors,SPPL3
LMPP_Progenitors,NCOR2
LMPP_Progenitors,ZMYM2
LMPP_Progenitors,NUP58
LMPP_Progenitors,GTF3A
LMPP_Progenitors,PAN3
LMPP_Progenitors,SLC46A3
LMPP_Progenitors,RP11-142E9.1
LMPP_Progenitors,SLC25A15
LMPP_Progenitors,ELF1
LMPP_Progenitors,EPSTI1
LMPP_Progenitors,TSC22D1
LMPP_Progenitors,RP11-321C24.1
LMPP_Progenitors,CPB2-AS1
LMPP_Progenitors,DLEU2
LMPP_Progenitors,WDFY2
LMPP_Progenitors,SUGT1
LMPP_Progenitors,BORA
LMPP_Progenitors,LMO7
LMPP_Progenitors,MYCBP2-AS1
LMPP_Progenitors,GPR183
LMPP_Progenitors,CDC16
LMPP_Progenitors,NDRG2
LMPP_Progenitors,C14orf119
LMPP_Progenitors,PPP1R3E
LMPP_Progenitors,RP11-934B9.8
LMPP_Progenitors,RPL36AL
LMPP_Progenitors,NEMF
LMPP_Progenitors,GNPNAT1
LMPP_Progenitors,CDKN3
LMPP_Progenitors,RP11-517O13.1
LMPP_Progenitors,CCDC175
LMPP_Progenitors,PLEKHG3
LMPP_Progenitors,RP11-840I19.3
LMPP_Progenitors,ZFP36L1
LMPP_Progenitors,RBM25
LMPP_Progenitors,NUMB
LMPP_Progenitors,RP5-1021I20.5
LMPP_Progenitors,TTC7B
LMPP_Progenitors,DYNC1H1
LMPP_Progenitors,MOK
LMPP_Progenitors,MARK3
LMPP_Progenitors,CRIP2
LMPP_Progenitors,EMC4
LMPP_Progenitors,IVD
LMPP_Progenitors,SPATA5L1
LMPP_Progenitors,GALK2
LMPP_Progenitors,CTD-2647E9.3
LMPP_Progenitors,SLC27A2
LMPP_Progenitors,MAPK6
LMPP_Progenitors,TEX9
LMPP_Progenitors,HERC1
LMPP_Progenitors,RP11-317G6.1
LMPP_Progenitors,PPIB
LMPP_Progenitors,RPL4
LMPP_Progenitors,AAGAB
LMPP_Progenitors,ANP32A
LMPP_Progenitors,RP11-685G9.5
LMPP_Progenitors,DNAJA4
LMPP_Progenitors,PSMA4
LMPP_Progenitors,FAH
LMPP_Progenitors,SNHG21
LMPP_Progenitors,AEN
LMPP_Progenitors,ABHD2
LMPP_Progenitors,CHD2
LMPP_Progenitors,RPS2
LMPP_Progenitors,SNHG19
LMPP_Progenitors,ZNF213-AS1
LMPP_Progenitors,HMOX2
LMPP_Progenitors,NUDT16L1
LMPP_Progenitors,ALG1
LMPP_Progenitors,RP11-473I1.5
LMPP_Progenitors,ABCC1
LMPP_Progenitors,RPS15A
LMPP_Progenitors,GDE1
LMPP_Progenitors,ATP2A1
LMPP_Progenitors,CD19
LMPP_Progenitors,NFATC2IP
LMPP_Progenitors,TAOK2
LMPP_Progenitors,CORO1A
LMPP_Progenitors,ZNF747
LMPP_Progenitors,MT2A
LMPP_Progenitors,COQ9
LMPP_Progenitors,ADGRG3
LMPP_Progenitors,KATNB1
LMPP_Progenitors,CMTM1
LMPP_Progenitors,PDP2
LMPP_Progenitors,KIAA0895L
LMPP_Progenitors,PSMB10
LMPP_Progenitors,SLC12A4
LMPP_Progenitors,MVD
LMPP_Progenitors,APRT
LMPP_Progenitors,TRAPPC2L
LMPP_Progenitors,FANCA
LMPP_Progenitors,SCARF1
LMPP_Progenitors,SMG6
LMPP_Progenitors,PAFAH1B1
LMPP_Progenitors,CLUH
LMPP_Progenitors,CAMKK1
LMPP_Progenitors,ZNF232-AS1
LMPP_Progenitors,EIF5A
LMPP_Progenitors,TNFSF13
LMPP_Progenitors,TRAPPC1
LMPP_Progenitors,TMEM107
LMPP_Progenitors,TMEM220-AS1
LMPP_Progenitors,CDRT4
LMPP_Progenitors,NCOR1
LMPP_Progenitors,ALDH3A2
LMPP_Progenitors,LGALS9
LMPP_Progenitors,POLDIP2
LMPP_Progenitors,RAB11FIP4
LMPP_Progenitors,SNHG30
LMPP_Progenitors,CCL5
LMPP_Progenitors,CISD3
LMPP_Progenitors,DNAJC7
LMPP_Progenitors,KANSL1
LMPP_Progenitors,VMP1
LMPP_Progenitors,TUBD1
LMPP_Progenitors,C17orf64
LMPP_Progenitors,TACO1
LMPP_Progenitors,MILR1
LMPP_Progenitors,CEP95
LMPP_Progenitors,PSMD12
LMPP_Progenitors,C17orf58
LMPP_Progenitors,COG1
LMPP_Progenitors,CD300LF
LMPP_Progenitors,ATP5PD
LMPP_Progenitors,SLC16A5
LMPP_Progenitors,SUMO2
LMPP_Progenitors,RP11-16C1.3
LMPP_Progenitors,SAP30BP
LMPP_Progenitors,PRPSAP1
LMPP_Progenitors,CYTH1
LMPP_Progenitors,ANAPC11
LMPP_Progenitors,YES1
LMPP_Progenitors,SMCHD1
LMPP_Progenitors,MYL12A
LMPP_Progenitors,RP11-143J12.3
LMPP_Progenitors,GAREM1
LMPP_Progenitors,ZSCAN30
LMPP_Progenitors,C18orf54
LMPP_Progenitors,PHLPP1
LMPP_Progenitors,MIER2
LMPP_Progenitors,NDUFS7
LMPP_Progenitors,SPPL2B
LMPP_Progenitors,TIMM13
LMPP_Progenitors,HMG20B
LMPP_Progenitors,MRPL54
LMPP_Progenitors,MPND
LMPP_Progenitors,TINCR
LMPP_Progenitors,PET100
LMPP_Progenitors,CERS4
LMPP_Progenitors,EIF3G
LMPP_Progenitors,CDC37
LMPP_Progenitors,ILF3
LMPP_Progenitors,CTC-499B15.5
LMPP_Progenitors,C19orf53
LMPP_Progenitors,OCEL1
LMPP_Progenitors,IFI30
LMPP_Progenitors,GATAD2A
LMPP_Progenitors,ZNF431
LMPP_Progenitors,ZNF43
LMPP_Progenitors,CTB-92J24.3
LMPP_Progenitors,NUDT19
LMPP_Progenitors,ZNF792
LMPP_Progenitors,TMEM147
LMPP_Progenitors,CAPNS1
LMPP_Progenitors,LINC00665
LMPP_Progenitors,ZNF260
LMPP_Progenitors,ZNF790
LMPP_Progenitors,ZNF585A
LMPP_Progenitors,KCNK6
LMPP_Progenitors,FAM98C
LMPP_Progenitors,MRPS12
LMPP_Progenitors,GMFG
LMPP_Progenitors,AC006129.2
LMPP_Progenitors,ZNF223
LMPP_Progenitors,MARK4
LMPP_Progenitors,SYMPK
LMPP_Progenitors,PIH1D1
LMPP_Progenitors,VRK3
LMPP_Progenitors,ETFB
LMPP_Progenitors,NDUFA3
LMPP_Progenitors,LENG1
LMPP_Progenitors,GP6
LMPP_Progenitors,ISOC2
LMPP_Progenitors,NAT14
LMPP_Progenitors,SLC27A5
LMPP_Progenitors,UBE2M
LMPP_Progenitors,SRXN1
LMPP_Progenitors,IDH3B
LMPP_Progenitors,GPCPD1
LMPP_Progenitors,SHLD1
LMPP_Progenitors,TMX4
LMPP_Progenitors,PLCB1
LMPP_Progenitors,KAT14
LMPP_Progenitors,PET117
LMPP_Progenitors,XRN2
LMPP_Progenitors,PHF20
LMPP_Progenitors,DLGAP4-AS1
LMPP_Progenitors,FAM83D
LMPP_Progenitors,CHD6
LMPP_Progenitors,ADA
LMPP_Progenitors,ZNF334
LMPP_Progenitors,TP53RK
LMPP_Progenitors,ARFGEF2
LMPP_Progenitors,CSTF1
LMPP_Progenitors,PSMA7
LMPP_Progenitors,OGFR
LMPP_Progenitors,GMEB2
LMPP_Progenitors,ATP5PO
LMPP_Progenitors,BACE2
LMPP_Progenitors,PKNOX1
LMPP_Progenitors,ITGB2
LMPP_Progenitors,FAM207A
LMPP_Progenitors,HDHD5
LMPP_Progenitors,PI4KA
LMPP_Progenitors,SNRPD3
LMPP_Progenitors,MN1
LMPP_Progenitors,ZMAT5
LMPP_Progenitors,RP1-68O2.5
LMPP_Progenitors,MPST
LMPP_Progenitors,POLR2F
LMPP_Progenitors,MAFF
LMPP_Progenitors,CBX6
LMPP_Progenitors,TCF20
LMPP_Progenitors,TSPO
LMPP_Progenitors,TTLL12
LMPP_Progenitors,SCO2
LMPP_Progenitors,DHRSX
LMPP_Progenitors,PRKX-AS1
LMPP_Progenitors,TXLNG
LMPP_Progenitors,MBTPS2
LMPP_Progenitors,SMS
LMPP_Progenitors,PRDX4
LMPP_Progenitors,LANCL3
LMPP_Progenitors,USP9X
LMPP_Progenitors,FUNDC1
LMPP_Progenitors,KDM6A
LMPP_Progenitors,GRIPAP1
LMPP_Progenitors,GPKOW
LMPP_Progenitors,COX7B
LMPP_Progenitors,ITM2A
LMPP_Progenitors,DIAPH2
LMPP_Progenitors,PSMD10
LMPP_Progenitors,NKAP
LMPP_Progenitors,SAGE1
LMPP_Progenitors,EOLA2
LMPP_Progenitors,CETN2
LMPP_Progenitors,SSR4
LMPP_Progenitors,NAA10
LMPP_Progenitors,MECP2
LMPP_Progenitors,BRCC3
LMPP_Progenitors,WASH6P
GMP_Progenitors,RER1
GMP_Progenitors,CROCC
GMP_Progenitors,ZMYM4
GMP_Progenitors,CMPK1
GMP_Progenitors,MRPL37
GMP_Progenitors,CDC42SE1
GMP_Progenitors,SCAMP3
GMP_Progenitors,NCSTN
GMP_Progenitors,SRGAP2
GMP_Progenitors,HHAT
GMP_Progenitors,PACC1
GMP_Progenitors,IARS2
GMP_Progenitors,LGALS8
GMP_Progenitors,SNRPG
GMP_Progenitors,TGOLN2
GMP_Progenitors,CCDC115
GMP_Progenitors,MOB4
GMP_Progenitors,FARSB
GMP_Progenitors,ZNF660
GMP_Progenitors,RFT1
GMP_Progenitors,ABHD10
GMP_Progenitors,NUDT16
GMP_Progenitors,SIAH2
GMP_Progenitors,MCCC1
GMP_Progenitors,LETM1
GMP_Progenitors,STIM2
GMP_Progenitors,N4BP2
GMP_Progenitors,ANKRD17
GMP_Progenitors,HSD17B11
GMP_Progenitors,C4orf46
GMP_Progenitors,HSPA4
GMP_Progenitors,PRELID2
GMP_Progenitors,PCYOX1L
GMP_Progenitors,MRPL22
GMP_Progenitors,PSMG4
GMP_Progenitors,GFOD1
GMP_Progenitors,IRAK1BP1
GMP_Progenitors,HECA
GMP_Progenitors,TP53TG1
GMP_Progenitors,IRF5
GMP_Progenitors,ZNF783
GMP_Progenitors,ATP6V1H
GMP_Progenitors,PPP1R16A
GMP_Progenitors,TOMM5
GMP_Progenitors,TEX10
GMP_Progenitors,PTRH1
GMP_Progenitors,SURF4
GMP_Progenitors,TMEM203
GMP_Progenitors,DPH7
GMP_Progenitors,EPC1
GMP_Progenitors,SGPL1
GMP_Progenitors,ANAPC16
GMP_Progenitors,ARL3
GMP_Progenitors,MGMT
GMP_Progenitors,GLRX3
GMP_Progenitors,PNPLA2
GMP_Progenitors,ALG8
GMP_Progenitors,TMEM126B
GMP_Progenitors,CEP57
GMP_Progenitors,FOXJ2
GMP_Progenitors,SMARCD1
GMP_Progenitors,ZNF740
GMP_Progenitors,ITGB7
GMP_Progenitors,HELLPAR
GMP_Progenitors,ACAD10
GMP_Progenitors,OAS3
GMP_Progenitors,FAM30A
GMP_Progenitors,KCTD13
GMP_Progenitors,CD2BP2
GMP_Progenitors,TERF2
GMP_Progenitors,TP53I13
GMP_Progenitors,ORMDL3
GMP_Progenitors,MRPL27
GMP_Progenitors,KCTD2
GMP_Progenitors,CEP131
GMP_Progenitors,OXLD1
GMP_Progenitors,CCDC137
GMP_Progenitors,RBBP8
GMP_Progenitors,PNPLA6
GMP_Progenitors,STXBP2
GMP_Progenitors,MYO9B
GMP_Progenitors,ISYNA1
GMP_Progenitors,CCNE1
GMP_Progenitors,CTD-2553L13.10
GMP_Progenitors,IGFLR1
GMP_Progenitors,DTD1
GMP_Progenitors,ENTPD6
GMP_Progenitors,COMMD7
GMP_Progenitors,EDEM2
GMP_Progenitors,ZNF217
GMP_Progenitors,TNFRSF6B
GMP_Progenitors,MRPL39
GMP_Progenitors,GART
GMP_Progenitors,SAMM50
GMP_Progenitors,SELENOO
Progenitors,NOC2L
Progenitors,B3GALT6
Progenitors,INTS11
Progenitors,MRPL20
Progenitors,SSU72
Progenitors,MORN1
Progenitors,PRDM16
Progenitors,TPRG1L
Progenitors,CEP104
Progenitors,PER3
Progenitors,PLOD1
Progenitors,AGMAT
Progenitors,NECAP2
Progenitors,ATP13A2
Progenitors,PADI4
Progenitors,SRRM1
Progenitors,ZNF593
Progenitors,NUDC
Progenitors,PEF1
Progenitors,RP5-864K19.4
Progenitors,P3H1
Progenitors,C1orf50
Progenitors,SLC2A1
Progenitors,CDC20
Progenitors,ST3GAL3
Progenitors,ZSWIM5
Progenitors,POMGNT1
Progenitors,ATPAF1
Progenitors,BEND5
Progenitors,NDC1
Progenitors,SLC35D1
Progenitors,RPF1
Progenitors,BCL10
Progenitors,RBMXL1
Progenitors,GBP3
Progenitors,BCAR3
Progenitors,MFSD14A
Progenitors,TMEM167B
Progenitors,INKA2
Progenitors,SLC16A1
Progenitors,RSBN1
Progenitors,WDR3
Progenitors,WARS2-AS1
Progenitors,VPS45
Progenitors,ARNT
Progenitors,VPS72
Progenitors,S100A11
Progenitors,S100A6
Progenitors,HAX1
Progenitors,UBE2Q1
Progenitors,SHC1
Progenitors,TTC24
Progenitors,ISG20L2
Progenitors,SLAMF6
Progenitors,DEDD
Progenitors,B4GALT3
Progenitors,SDHC
Progenitors,UHMK1
Progenitors,TMCO1
Progenitors,STX6
Progenitors,EDEM3
Progenitors,GLRX2
Progenitors,ZBTB41
Progenitors,KIF21B
Progenitors,CYB5R1
Progenitors,BTG2
Progenitors,YOD1
Progenitors,TRAF5
Progenitors,LINC00467
Progenitors,DTL
Progenitors,PPP2R5A
Progenitors,SNAP47
Progenitors,RAB4A
Progenitors,URB2
Progenitors,GNPAT
Progenitors,TBCE
Progenitors,COX20
Progenitors,ZNF669
Progenitors,NLRP3
Progenitors,TMEM18
Progenitors,HS1BP3
Progenitors,SF3B6
Progenitors,DTNB
Progenitors,RAB10
Progenitors,AGBL5
Progenitors,AC074117.10
Progenitors,EIF2B4
Progenitors,BABAM2
Progenitors,MORN2
Progenitors,COX7A2L
Progenitors,CRIPT
Progenitors,AC012358.8
Progenitors,USP34
Progenitors,NFU1
Progenitors,FAM136A
Progenitors,ZNF638
Progenitors,PRADC1
Progenitors,DGUOK-AS1
Progenitors,WDR54
Progenitors,WBP1
Progenitors,GCFC2
Progenitors,TMSB10
Progenitors,RETSAT
Progenitors,ZNF514
Progenitors,LINC00342
Progenitors,STARD7-AS1
Progenitors,PDCL3
Progenitors,C2orf49-DT
Progenitors,SULT1C4
Progenitors,MTLN
Progenitors,CKAP2L
Progenitors,ERCC3
Progenitors,SPOPL
Progenitors,RBM43
Progenitors,RIF1
Progenitors,NOSTRIN
Progenitors,AC093818.1
Progenitors,CWC22
Progenitors,INPP1
Progenitors,CAVIN2-AS1
Progenitors,DNAH7
Progenitors,TYW5
Progenitors,ICA1L
Progenitors,TMBIM1
Progenitors,TUBA4A
Progenitors,HJURP
Progenitors,RNPEPL1
Progenitors,ARL8B
Progenitors,EDEM1
Progenitors,RBSN
Progenitors,DPH3
Progenitors,CMC1
Progenitors,CNOT10
Progenitors,UBP1
Progenitors,TRANK1
Progenitors,MLH1
Progenitors,VILL
Progenitors,ZNF621
Progenitors,ZNF852
Progenitors,EXOSC7
Progenitors,LZTFL1
Progenitors,SLC26A6
Progenitors,WDR6
Progenitors,USP19
Progenitors,RNF123
Progenitors,UBA7
Progenitors,NAA80
Progenitors,RAD54L2
Progenitors,ALAS1
Progenitors,BAP1
Progenitors,PHF7
Progenitors,PDE12
Progenitors,PDHB
Progenitors,C3orf38
Progenitors,CLDND1
Progenitors,CPOX
Progenitors,NIT2
Progenitors,SENP7
Progenitors,RP11-454H13.8
Progenitors,QTRT2
Progenitors,PARP14
Progenitors,NEK11
Progenitors,CDV3
Progenitors,ANAPC13
Progenitors,NCK1-DT
Progenitors,DBR1
Progenitors,SLC25A36
Progenitors,TSC22D2
Progenitors,IGSF10
Progenitors,C3orf80
Progenitors,MFN1
Progenitors,DCUN1D1
Progenitors,OPA1-AS1
Progenitors,DGKQ
Progenitors,RNF4
Progenitors,SH3BP2
Progenitors,NOP14-AS1
Progenitors,MRFAP1L1
Progenitors,TAPT1
Progenitors,AC006160.5
Progenitors,TMEM156
Progenitors,LIAS
Progenitors,TXK
Progenitors,DCUN1D4
Progenitors,CEP135
Progenitors,RCHY1
Progenitors,DAPP1
Progenitors,LAMTOR3
Progenitors,BDH2
Progenitors,INTS12
Progenitors,PLA2G12A
Progenitors,USP38
Progenitors,PRMT9
Progenitors,RP11-555K12.4
Progenitors,TMEM131L
Progenitors,RP11-10K16.1
Progenitors,AGA
Progenitors,CLPTM1L
Progenitors,TENT4A
Progenitors,ATPSCKMT
Progenitors,DAP
Progenitors,SKP2
Progenitors,CTD-2353F22.1
Progenitors,TTC33
Progenitors,CCL28
Progenitors,SLC38A9
Progenitors,GAPT
Progenitors,DIMT1
Progenitors,CDK7
Progenitors,GTF2H2C
Progenitors,BTF3
Progenitors,GFM2
Progenitors,TMEM167A
Progenitors,XRCC4
Progenitors,TMEM161B-AS1
Progenitors,CTD-2260A17.2
Progenitors,EPB41L4A-AS1
Progenitors,AP3S1
Progenitors,LINC02863
Progenitors,SEPTIN8
Progenitors,CDKL3
Progenitors,C5orf24
Progenitors,RP11-381K20.2
Progenitors,PKD2L2
Progenitors,STING1
Progenitors,DELE1
Progenitors,SH3TC2
Progenitors,SLC26A2
Progenitors,GALNT10
Progenitors,TENM2
Progenitors,HIGD2A
Progenitors,GRK6
Progenitors,MGAT4B
Progenitors,TBC1D9B
Progenitors,RIPK1
Progenitors,TBC1D7
Progenitors,MCUR1
Progenitors,BTN2A2
Progenitors,HCG11
Progenitors,H2BC12
Progenitors,ZKSCAN4
Progenitors,PGBD1
Progenitors,HCG18
Progenitors,FLOT1
Progenitors,XXbac-BPG181B23.7
Progenitors,NEU1
Progenitors,RNF5
Progenitors,HLA-DPB1
Progenitors,SMIM29
Progenitors,PEX6
Progenitors,KLC4
Progenitors,TRAM2
Progenitors,ZNF451-AS1
Progenitors,RP11-398K22.12
Progenitors,SMIM8
Progenitors,MDN1
Progenitors,PPIL6
Progenitors,GTF3C6
Progenitors,RP11-549D23.1
Progenitors,PEX7
Progenitors,CCDC28A
Progenitors,RP1-167A14.3
Progenitors,PRKAR1B
Progenitors,SUN1
Progenitors,PMS2
Progenitors,C7orf26
Progenitors,ZNF316
Progenitors,TOMM7
Progenitors,MPP6
Progenitors,CBX3
Progenitors,HOXA3
Progenitors,NOD1
Progenitors,DPY19L1
Progenitors,TRGC2
Progenitors,UBE2D4
Progenitors,OGDH
Progenitors,RP4-647J21.1
Progenitors,MYO1G
Progenitors,SEC61G
Progenitors,CCT6A
Progenitors,ZNF680
Progenitors,TMEM248
Progenitors,POM121
Progenitors,AC004878.2
Progenitors,POR
Progenitors,TMEM243
Progenitors,PTCD1
Progenitors,ZNF789
Progenitors,TAF6
Progenitors,GNB2
Progenitors,SLC12A9
Progenitors,PLOD3
Progenitors,ZNHIT1
Progenitors,ALKBH4
Progenitors,RP11-514P8.10
Progenitors,UPK3BL1
Progenitors,POLR2J2
Progenitors,ORC5
Progenitors,ATXN7L1
Progenitors,PRKAR2B
Progenitors,LSM8
Progenitors,METTL2B
Progenitors,CALU
Progenitors,ZC3HAV1
Progenitors,UBN2
Progenitors,CUL1
