Subset,Detail
LMPP_MPP_Progenitors,OCLN
LMPP_MPP_Progenitors,F2R
LMPP_MPP_Progenitors,REEP5
LMPP_MPP_Progenitors,KIF3A
LMPP_MPP_Progenitors,INSYN2B
LMPP_MPP_Progenitors,TSPAN17
LMPP_MPP_Progenitors,PHYKPL
LMPP_MPP_Progenitors,NEDD9
LMPP_MPP_Progenitors,RP3-425P12.6
LMPP_MPP_Progenitors,DHX16
LMPP_MPP_Progenitors,LST1
LMPP_MPP_Progenitors,PSMB9
LMPP_MPP_Progenitors,HSP90AB1
LMPP_MPP_Progenitors,HMGN3
LMPP_MPP_Progenitors,RP13-143G15.4
LMPP_MPP_Progenitors,GINM1
LMPP_MPP_Progenitors,AC003075.4
LMPP_MPP_Progenitors,AC005062.2
LMPP_MPP_Progenitors,CTA-385F2.1
LMPP_MPP_Progenitors,OSBPL3
LMPP_MPP_Progenitors,HNRNPA2B1
LMPP_MPP_Progenitors,SNHG15
LMPP_MPP_Progenitors,RP5-1132H15.1
LMPP_MPP_Progenitors,AC083884.8
LMPP_MPP_Progenitors,SPDYE3
LMPP_MPP_Progenitors,ESYT2
LMPP_MPP_Progenitors,PLEKHA2
LMPP_MPP_Progenitors,LAPTM4B
LMPP_MPP_Progenitors,NIPAL2
LMPP_MPP_Progenitors,LRRC14
LMPP_MPP_Progenitors,SIGMAR1
LMPP_MPP_Progenitors,AGTPBP1
LMPP_MPP_Progenitors,SYK
LMPP_MPP_Progenitors,TNFSF8
LMPP_MPP_Progenitors,STOM
LMPP_MPP_Progenitors,RABEPK
LMPP_MPP_Progenitors,ST6GALNAC6
LMPP_MPP_Progenitors,ARHGAP12
LMPP_MPP_Progenitors,ARID5B
LMPP_MPP_Progenitors,POLR3A
LMPP_MPP_Progenitors,SFXN3
LMPP_MPP_Progenitors,STN1
LMPP_MPP_Progenitors,ACSL5
LMPP_MPP_Progenitors,BUB3
LMPP_MPP_Progenitors,TRIM21
LMPP_MPP_Progenitors,VWCE
LMPP_MPP_Progenitors,DRAP1
LMPP_MPP_Progenitors,MRPL48
LMPP_MPP_Progenitors,RP11-811I7.2
LMPP_MPP_Progenitors,THYN1
LMPP_MPP_Progenitors,CD27-AS1
LMPP_MPP_Progenitors,PTMS
LMPP_MPP_Progenitors,PEX5
LMPP_MPP_Progenitors,RP11-946L16.2
LMPP_MPP_Progenitors,PTGES3
LMPP_MPP_Progenitors,IRAK3
LMPP_MPP_Progenitors,GNPTAB
LMPP_MPP_Progenitors,COX6A1
LMPP_MPP_Progenitors,LINC01089
LMPP_MPP_Progenitors,POMP
LMPP_MPP_Progenitors,CYSLTR2
LMPP_MPP_Progenitors,NYNRIN
LMPP_MPP_Progenitors,NEK9
LMPP_MPP_Progenitors,EVL
LMPP_MPP_Progenitors,EIF2AK4
LMPP_MPP_Progenitors,SERF2
LMPP_MPP_Progenitors,USP3-AS1
LMPP_MPP_Progenitors,CIAO2A
LMPP_MPP_Progenitors,IMP3
LMPP_MPP_Progenitors,PRSS21
LMPP_MPP_Progenitors,PALB2
LMPP_MPP_Progenitors,BOLA2B
LMPP_MPP_Progenitors,SNX20
LMPP_MPP_Progenitors,CIAO2B
LMPP_MPP_Progenitors,TPPP3
LMPP_MPP_Progenitors,TCF25
LMPP_MPP_Progenitors,SPAG7
LMPP_MPP_Progenitors,ZNF286A
LMPP_MPP_Progenitors,PSMB3
LMPP_MPP_Progenitors,MIEN1
LMPP_MPP_Progenitors,SLC25A39
LMPP_MPP_Progenitors,SNX11
LMPP_MPP_Progenitors,PHB
LMPP_MPP_Progenitors,HLF
LMPP_MPP_Progenitors,SRSF2
LMPP_MPP_Progenitors,THOC1
LMPP_MPP_Progenitors,NPC1
LMPP_MPP_Progenitors,FECH
LMPP_MPP_Progenitors,CTB-31O20.2
LMPP_MPP_Progenitors,MRPL4
LMPP_MPP_Progenitors,CTC-510F12.4
LMPP_MPP_Progenitors,BRD4
LMPP_MPP_Progenitors,COPE
LMPP_MPP_Progenitors,TBCB
LMPP_MPP_Progenitors,ECH1
LMPP_MPP_Progenitors,DMAC2
LMPP_MPP_Progenitors,SLC1A5
LMPP_MPP_Progenitors,SELENOW
LMPP_MPP_Progenitors,ZNF28
LMPP_MPP_Progenitors,MMP24
LMPP_MPP_Progenitors,CASS4
