"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MIR924HG",1.13136023542697e-11,-2.78599417834724,0.327,0.776,4.1407784616627e-07
"FIRRE",1.1412693499412e-11,-1.76278171103573,0.363,0.842,4.17704582078478e-07
"PSME2",1.16719140151291e-11,-1.35960683033209,0.717,0.921,4.27192052953726e-07
"CENPK",1.22363438932898e-11,-2.15099533266672,0.257,0.737,4.47850186494406e-07
"DENND5B",1.23491118205567e-11,6.25358256820061,0.558,0.092,4.51977492632376e-07
"PELI2",1.28925136733305e-11,2.54473940498737,0.708,0.184,4.71866000443896e-07
"CXCL8",1.30952105788879e-11,2.44770182988803,0.929,0.5,4.79284707187296e-07
"MT-ND3",1.38641413531422e-11,-0.533002625331816,1,1,5.07427573525005e-07
"CCL1",1.53027086499202e-11,-3.47073112193313,0.08,0.5,5.60079136587079e-07
"TNIK",1.81702348561415e-11,-4.30536041313466,0.124,0.539,6.65030595734778e-07
"ZNF367",1.96693345131294e-11,-2.1471375280903,0.195,0.658,7.19897643180537e-07
"TXNDC17",2.29855410431148e-11,-3.28820731138987,0.274,0.671,8.41270802178003e-07
"STON2",2.34337365120266e-11,-2.75786471063273,0.292,0.724,8.57674756340174e-07
"EPB41L2",2.50805014221545e-11,-2.06783566265316,0.416,0.816,9.17946352050856e-07
"CPNE7",2.84950464216316e-11,-3.30734105197966,0.062,0.474,1.04291869903171e-06
"PLA2G4A",3.43359092939928e-11,-2.16191709150051,0.372,0.763,1.25669428016013e-06
"F13A1",3.80268942870614e-11,3.37923234113038,0.717,0.303,1.39178433090645e-06
"GOLGA8B",4.18056976363125e-11,-1.74139328874819,0.549,0.934,1.53008853348904e-06
"NAAA",4.24754339004149e-11,-2.87485162598118,0.23,0.658,1.55460088075519e-06
"RXFP1",4.45869359907639e-11,-2.07033193787226,0.204,0.605,1.63188185726196e-06
"CTSC",4.79063720627153e-11,-1.08569595587891,0.584,0.934,1.75337321749538e-06
"CCT5",4.80816873237088e-11,-2.34345469959195,0.549,0.855,1.75978975604774e-06
"APBB1IP",4.92094472324409e-11,-1.41934310566684,0.814,0.987,1.80106576870734e-06
"PFN1",5.13957669977747e-11,-1.17080148139166,0.956,1,1.88108507211855e-06
"PRDX3",5.18834070918266e-11,-2.51854228891359,0.257,0.684,1.89893269956085e-06
"HSPE1",5.19904184275718e-11,-1.72538879020549,0.611,0.868,1.90284931444913e-06
"ANAPC5",5.50705087395065e-11,-1.43681778809653,0.841,0.987,2.01558061986594e-06
"PLEKHA5",5.6278994714726e-11,-1.66402515724417,0.54,0.908,2.05981120655897e-06
"PRDX4",6.42597445550535e-11,-1.76010573463637,0.319,0.724,2.35190665071496e-06
"RP11-718G2.5",7.32661997006245e-11,4.94096998001124,0.593,0.132,2.68154290904286e-06
"EIF4EBP1",9.0085256179033e-11,-2.22192097853413,0.434,0.776,3.29712037615261e-06
"ZEB1",9.72264390919714e-11,-1.53518851688755,0.619,0.961,3.55848767076615e-06
"ITPA",9.74347340805865e-11,-1.75608936471485,0.354,0.737,3.56611126734947e-06
"PRDX1",1.06838587213861e-10,-1.11953193191105,0.593,0.934,3.91029229202733e-06
"ACOT7",1.13214742854075e-10,-2.31348586762432,0.257,0.684,4.14365958845913e-06
"PGAM1",1.18289031522946e-10,-1.86237622501235,0.487,0.829,4.32937855373982e-06
"METTL8",1.34527753883847e-10,-1.97197684245529,0.327,0.737,4.92371579214879e-06
"SKA2",1.37372581678704e-10,-2.53974464070881,0.177,0.605,5.02783648944058e-06
"MCM5",1.40673932324818e-10,-0.540233076591018,0.469,0.803,5.14866592308835e-06
"MACC1",1.41048977310163e-10,-3.18760978919711,0.159,0.566,5.16239256955196e-06
"MIR181A1HG",1.56762387391531e-10,1.2011461150564,1,0.974,5.73750337853005e-06
"CD7",1.96442110648405e-10,-2.15831597870373,0.035,0.395,7.18978124973162e-06
"NOP56",2.22933025623545e-10,-1.07614800073081,0.619,0.895,8.15934873782174e-06
"GPR174",2.29002750705832e-10,-4.1360788122867,0.133,0.553,8.38150067583345e-06
"CNST",2.34971890023595e-10,-1.24408103361191,0.805,0.987,8.59997117486356e-06
"ERAP2",2.37923798711272e-10,-1.07591118293238,0.575,0.921,8.70801103283256e-06
"H2BC5",2.70844445295275e-10,3.29451676733479,0.646,0.197,9.91290669780708e-06
"HLA-DRA",2.90454431027787e-10,-1.68408958568729,0.823,0.921,1.0630632175617e-05
"SF3A3",2.93495822285704e-10,-1.31030928741244,0.487,0.829,1.07419470956568e-05
"DGKG",3.39052262505565e-10,2.03107072769049,0.982,0.895,1.24093128077037e-05
"MRPL1",3.5797453945694e-10,-1.52277785950073,0.354,0.789,1.3101868144124e-05
"CRYGD",3.58402743513193e-10,-0.28093612427315,0.062,0.434,1.31175404125829e-05
"SELPLG",3.71061015788988e-10,-1.61904624345421,0.168,0.632,1.3580833177877e-05
"COMMD8",4.22908357598828e-10,-2.84072201422636,0.142,0.539,1.54784458881171e-05
"ATP6V0B",4.35218357755014e-10,-1.29929927663986,0.841,0.947,1.59289918938335e-05
"CCM2",4.45443423815325e-10,-2.05546078288647,0.292,0.711,1.63032293116409e-05
"YIF1B",4.54420802754617e-10,-2.22975549922577,0.142,0.579,1.6631801380819e-05
"METAP1D",4.64813311897054e-10,-1.58653985854954,0.204,0.632,1.70121672154322e-05
"DCPS",4.71377981534844e-10,-2.40640049109873,0.292,0.711,1.72524341241753e-05
"PSMC5",4.75481395501734e-10,-1.36485514025985,0.566,0.895,1.74026190753635e-05
"MICOS10",4.97929636550535e-10,-1.52478743511769,0.522,0.816,1.82242246977496e-05
"CIBAR1",5.03092556984024e-10,-3.13865629681667,0.027,0.368,1.84131875856153e-05
"OSBPL3",5.18163065680292e-10,-1.60921335022165,0.434,0.842,1.89647682038987e-05
"IFITM2",5.56892643579063e-10,-1.40792772351669,0.735,0.974,2.03822707549937e-05
"TPSB2",5.74864410564828e-10,2.66800383130998,0.805,0.461,2.10400374266727e-05
"H2AZ1",6.07088242457974e-10,-1.71773266763767,0.77,0.921,2.22194296739618e-05
"ANXA6",8.25911678058159e-10,-1.20216733924684,0.31,0.75,3.02283674169286e-05
"MRPL11",8.40852143234908e-10,-0.496487475741128,0.204,0.632,3.07751884423976e-05
"AGK",8.63941301228407e-10,-0.990697321800568,0.221,0.645,3.16202516249597e-05
"PPP1R18",8.77596215886157e-10,-2.08555296285729,0.372,0.75,3.21200215014334e-05
"LAT2",8.78050168409288e-10,-1.1836258049326,0.743,0.974,3.213663616378e-05
"LSM6",8.84282408220311e-10,-3.03838786005289,0.159,0.553,3.23647361408634e-05
"RAB27A",9.33484697385229e-10,2.97841850042883,0.566,0.132,3.41655399242994e-05
"CDT1",9.83049732850632e-10,-2.09449149821644,0.336,0.724,3.59796202223331e-05
"CCT7",1.02637039815168e-09,-1.75064661288072,0.46,0.842,3.75651565723513e-05
"IGF2R",1.03882905688475e-09,-3.8359362848626,0.053,0.408,3.80211434819819e-05
"PCNA",1.11462671694179e-09,-2.14934932646086,0.336,0.697,4.07953378400694e-05
"CBX5",1.22871325786791e-09,-1.53727925450606,0.496,0.816,4.49709052379655e-05
"DAPK1",1.37996865853446e-09,-1.57334869873498,0.522,0.829,5.05068529023611e-05
"RBL1",1.39638917704801e-09,-1.8858990942406,0.504,0.842,5.11078438799572e-05
"YWHAB",1.39893730975989e-09,-1.35538190782043,0.752,0.921,5.1201105537212e-05
"PCYOX1L",1.57604866457046e-09,-2.40300615602908,0.018,0.342,5.76833811232788e-05
"WDHD1",1.61693901152351e-09,-1.41994610303494,0.265,0.684,5.91799678217605e-05
"SP100",1.63444883666783e-09,-1.00858848766588,0.814,0.987,5.98208274220424e-05
"MRPS34",1.72323477622008e-09,-2.18467041306822,0.336,0.724,6.30703928096551e-05
"LRP8",1.7789840896182e-09,-1.18438662015784,0.345,0.789,6.51108176800261e-05
"CDCA7",1.78917879998849e-09,-2.17586432635528,0.168,0.566,6.54839440795788e-05
"GSN",1.83574952513104e-09,-1.28438956772637,0.434,0.816,6.71884326197961e-05
"NME1",1.8760896495984e-09,-1.39476650112046,0.69,0.934,6.86648811753014e-05
"RGCC",1.90196797045177e-09,3.7317414744904,0.752,0.368,6.96120277185347e-05
"SNCA",1.9516829461624e-09,-1.1927583482797,0.363,0.789,7.14315958295439e-05
"FRMD4B",1.99050600168859e-09,-1.51305898372582,0.496,0.842,7.28525196618025e-05
"MTAP",2.06059265427835e-09,-1.07092519016267,0.504,0.882,7.54176911465876e-05
"OXCT1",2.06786483297301e-09,-2.24639426797601,0.31,0.711,7.5683852886812e-05
"SCAMP3",2.16224077251773e-09,-1.19040389762858,0.416,0.776,7.91380122741491e-05
"CD109",2.18230389021234e-09,-3.34515297018771,0.177,0.539,7.98723223817715e-05
"WDR12",2.20170553138447e-09,-1.637497475733,0.442,0.803,8.05824224486717e-05
"LSM7",2.27490495053935e-09,-0.723676254449981,0.699,0.921,8.32615211897402e-05
"HMGN4",2.3203787370732e-09,-1.31338788492316,0.177,0.592,8.49258617768792e-05
"MIR646HG",2.35644783593684e-09,-2.65716995482505,0.327,0.697,8.62459907952882e-05
"FAH",2.44379565862277e-09,-1.28866012421043,0.239,0.645,8.94429211055932e-05
"FCHO2",2.50008456190898e-09,5.10162286578034,0.46,0.066,9.15030949658687e-05
"KLF6",2.53146456768062e-09,1.78362645997229,0.982,0.947,9.26516031771109e-05
"ENO1",2.53249028288703e-09,-0.981408620370843,0.965,1,9.26891443536655e-05
"SNX29",2.56456734534384e-09,-1.29292250987097,0.566,0.908,9.38631648395847e-05
"VSIG10",2.65404673935155e-09,-1.54938141506791,0.142,0.526,9.71381106602668e-05
"NUP160",2.68744483045834e-09,-1.27777727343087,0.69,0.961,9.83604807947754e-05
"TPI1",2.75853966607774e-09,-1.68804626051936,0.805,0.947,0.000100962551778445
"CASS4",2.79194715420929e-09,-0.553522048861257,0.097,0.5,0.00010218526584406
"SRM",2.8996588573673e-09,-1.46649492929173,0.442,0.803,0.000106127514179643
"KPNB1",2.96451528722613e-09,-1.14014845168347,0.832,0.974,0.000108501259512476
"IGHM",3.08322339727706e-09,-2.5071449652444,0.274,0.684,0.00011284597634034
"NDUFS6",3.20104007916297e-09,-1.18993803242377,0.628,0.868,0.000117158066897365
"UBASH3B",3.2028621701129e-09,-1.0323912819703,0.735,0.961,0.000117224755426132
"PPP1CA",3.29291157507615e-09,-1.69029483378259,0.504,0.816,0.000120520563647787
"EIF2S1",3.31170113444976e-09,-1.78181959386591,0.274,0.671,0.000121208261520861
"TTC9",3.3588255194899e-09,-2.01128299736475,0.106,0.513,0.00012293301401333
"DYNLL1",3.44511294558093e-09,-1.72599249210819,0.531,0.829,0.000126091133808262
"SNX5",3.48756026943653e-09,-1.1305624971516,0.478,0.868,0.000127644705861377
"DDB2",3.53640021297051e-09,-2.26914147083526,0.372,0.763,0.000129432247794721
"GAB2",3.58258114922681e-09,1.3922534313554,0.982,0.974,0.000131122470061701
"ATP2B1",3.81924992235961e-09,1.39461858668347,0.965,0.934,0.000139784547158362
"TEX261",3.85326201459598e-09,-2.80092474900724,0.159,0.539,0.000141029389734213
"PCLAF",3.92373423672225e-09,-1.68274485863161,0.398,0.737,0.000143608673064034
"CHEK1",3.92719447264953e-09,-1.69405546866997,0.221,0.632,0.000143735317698973
"SH3BP4",4.23201619119347e-09,-1.25336971013696,0.221,0.632,0.000154891792597681
"OPN3",4.32740383678501e-09,-3.25304026883542,0.035,0.355,0.000158382980426331
"HSPA1A",4.38145437063724e-09,-3.78931940712739,0.115,0.487,0.000160361229965323
"ARHGAP25",4.40246621530524e-09,-1.18489248149083,0.522,0.882,0.000161130263480172
"TRUB2",4.54533230506974e-09,-1.87993293390711,0.345,0.763,0.000166359162365553
"CYFIP2",4.55028618600005e-09,-1.27046802117822,0.31,0.75,0.000166540474407602
"BRCA1",4.84514894712882e-09,-1.78636615518201,0.274,0.671,0.000177332451464915
"KATNB1",4.92444431393206e-09,-1.5419853010182,0.177,0.579,0.000180234661889913
"TRPM2",4.96447840564712e-09,-2.20169529127838,0.221,0.618,0.000181699909646684
"CDC45",5.32826925207839e-09,-2.16350219642964,0.124,0.5,0.000195014654626069
"COX5A",5.77654984677626e-09,-1.1331418058506,0.85,0.961,0.000211421724392011
"EAF2",5.85275337977194e-09,-1.09839796706107,0.602,0.908,0.000214210773699653
"NCF4",6.0382829041556e-09,-0.971252527398796,0.522,0.868,0.000221001154292095
"SPAG9",6.04013676151488e-09,1.23649365271189,0.973,0.974,0.000221069005471445
"MFNG",6.09974320206339e-09,-2.07611487205533,0.274,0.618,0.00022325060119552
"SLC4A7",6.10510316410789e-09,-1.76183709624474,0.46,0.803,0.000223446775806349
"NDUFC2",6.28732427978296e-09,-1.77341594488842,0.496,0.803,0.000230116068640057
"ATF3",6.41860132241471e-09,4.36003921406933,0.699,0.368,0.000234920808400379
"MRPS5",6.80594636798468e-09,-1.62909748657204,0.389,0.737,0.000249097637068239
