,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
521,ANKRD17,579.4101077,-0.818462412,0.284568276,-2.876154795,0.004025522,0.027090362
522,AREG,25.54265299,-9.514017753,1.548267013,-6.144946363,7.99905E-10,2.6454E-07
523,RCHY1,18.90184863,3.010925194,1.00175942,3.005637018,0.002650252,0.020184478
524,HNRNPD,458.2889483,-0.659228628,0.238113978,-2.768542336,0.005630767,0.034087933
525,SEC31A,185.5805671,-1.402042852,0.409358966,-3.424971645,0.000614864,0.007238097
526,HELQ,16.394064,5.221529699,1.263578946,4.132333573,3.59099E-05,0.00093406
527,MRPS18C,46.43234912,2.390514149,0.787381961,3.036028594,0.002397166,0.018914247
528,HSD17B11,165.4226946,-1.177693022,0.408697642,-2.881575279,0.003956927,0.026800135
529,HERC5,12.42124233,5.580881531,1.889792243,2.953171996,0.003145267,0.022697295
530,MMRN1,18.75459495,3.104196641,1.052763959,2.948615988,0.003192003,0.022891846
531,CCSER1,34.96157255,-5.690503049,1.163313629,-4.891632753,1.00003E-06,6.67908E-05
532,TSPAN5,50.64393732,6.4669985,0.934301751,6.921745028,4.46114E-12,2.58188E-09
533,ADH5,55.04315132,3.220917391,0.770415114,4.180755715,2.90542E-05,0.000816268
534,DAPP1,37.66223266,6.489508991,1.03444743,6.273406268,3.53234E-10,1.31893E-07
535,LAMTOR3,12.34914233,5.226089161,1.329742705,3.930150653,8.48927E-05,0.001692257
536,CISD2,44.24141883,2.088585685,0.721506939,2.894754814,0.003794548,0.025943232
537,BDH2,12.76747253,3.851104955,1.074748662,3.583260989,0.000339331,0.00473224
538,INTS12,27.05039792,2.480514957,0.940037227,2.638741196,0.008321448,0.044469419
539,PLA2G12A,9.954210557,3.836740199,1.448117272,2.649467881,0.008061863,0.04342302
540,ELOVL6,47.37907546,5.865899769,1.06822482,5.491259574,3.99077E-08,5.77415E-06
