"Cell","mapping_error_score","mapping_error_QC","UMAP1_projected","UMAP2_projected","predicted_CellType","predicted_CellType_prob","predicted_Pseudotime"
"S2PL01-13A-516-REL",11.2072475090514,"Pass",2.27464842796326,2.4084997177124,"HSC",0.533333333333333,0.042443615741808
"S2PL01-13C-516-REL",9.10124796625424,"Pass",2.25427842140198,3.26360630989075,"HSC",1,0.08876502
"S2PL01-13E-516-REL",10.4556227381893,"Pass",2.18597269058228,3.0342390537262,"HSC",1,0.021109055
"S2PL01-13G-516-REL",16.1667434454212,"Pass",2.60469722747803,2.84396815299988,"MPP-MyLy",0.433333333333333,0.015294735
"S2PL01-13I-516-REL",7.59544145162014,"Pass",1.61882197856903,2.643967628479,"HSC",0.933333333333333,0.0041805985
"S2PL01-13K-516-REL",9.37248472638631,"Pass",1.20115029811859,3.39883494377136,"HSC",1,4.402527e-07
"S2PL01-13M-516-REL",11.3610243891004,"Pass",1.97067379951477,2.99906039237976,"HSC",0.966666666666667,3.078607e-07
"S2PL01-15A-516-REL",13.5782447897692,"Pass",0.698614954948425,12.1613521575928,"Orthochromatic Erythroblast",0.633333333333333,18.301645
"S2PL01-15E-516-REL",10.5917756596792,"Pass",2.6714358329773,2.916264295578,"HSC",0.666666666666667,0.0097010015
"S2PL01-15G-516-REL",7.20976230986085,"Pass",2.17570185661316,2.39648771286011,"HSC",0.533333333333333,0.031602905
"S2PL01-15K-516-REL",10.0224889191616,"Pass",2.29695320129395,2.98544239997864,"HSC",0.9,0.16045125
"S2PL01-15M-516-REL",6.95892217726304,"Pass",3.83981657028198,2.43712186813354,"MPP-MkEry",0.6,1.572895e-07
"S2PL01-15O-516-REL",7.91448426748894,"Pass",2.66655611991882,2.98285818099976,"MPP-MkEry",0.4,0.021514665
"S2PL01-17A-516-REL",9.07956638931444,"Pass",2.96976041793823,3.815593957901,"MPP-MkEry",0.666666666666667,0.4960812
"S2PL01-17C-516-REL",7.97816559296612,"Pass",2.68666481971741,2.67755746841431,"MPP-MyLy",0.6,0.166491844351404
"S2PL01-17E-516-REL",8.87946844766491,"Pass",2.60141396522522,3.39462351799011,"HSC",0.7,0.008245219
"S2PL01-17G-516-REL",7.55480145814287,"Pass",2.02757167816162,2.65926909446716,"HSC",0.866666666666667,0.0048629265
"S2PL01-17I-516-REL",13.7020877067178,"Pass",2.96947598457336,-2.36635446548462,"MLP",0.5,6.0361035
"S2PL01-17M-516-REL",15.6738428756625,"Pass",6.89144515991211,5.85228729248047,"EoBasoMast Precursor",1,6.150229
"S2PL01-17O-516-REL",14.3779778940814,"Pass",-7.39327001571655,0.527680993080139,"CD4 Effector Memory",0.966666666666667,0
"S2PL01-19A-516-REL",6.73108941007054,"Pass",6.78242921829224,6.02254295349121,"EoBasoMast Precursor",1,6.150229
"S2PL01-19G-516-REL",6.64580166376312,"Pass",4.15268707275391,11.1140441894531,"Pro-Erythroblast",0.8,12.6225
"S2PL01-19I-516-REL",5.9748455475856,"Pass",2.22580313682556,11.3639879226685,"Basophilic Erythroblast",0.766666666666667,15.44151
"S2PL01-19K-516-REL",7.14932362682364,"Pass",5.43599605560303,9.3917350769043,"CFU-E",0.866666666666667,9.697035
"S2PL01-21K-516-REL",16.6208312339936,"Pass",-10.4009761810303,-2.79525446891785,"CD8 Effector Memory 2",0.4,0
"S2PL01-21M-516-REL",6.72298410867567,"Pass",-9.31731700897217,-12.1622648239136,"Plasma Cell",1,0
"S2PL01-23A-NOC156",9.71569342895203,"Pass",3.22745132446289,-2.19881439208984,"MLP",0.533333333333333,6.03802246607906
